id            ra              dec            ra(subaru)     dec(subaru)
W_010001     128.6040000      -1.3000000     083424.960     -011800.00
W_010002     129.9040000      -1.3000000     083936.960     -011800.00
W_010003     131.2030000      -1.3000000     084448.720     -011800.00
W_010004     132.5020000      -1.3000000     085000.480     -011800.00
W_010005     133.8010000      -1.3000000     085512.240     -011800.00
W_010006     135.1000000      -1.3000000     090024.000     -011800.00
W_010007     136.3990000      -1.3000000     090535.760     -011800.00
W_010008     137.6980000      -1.3000000     091047.520     -011800.00
W_010009     138.9970000      -1.3000000     091559.280     -011800.00
W_010010     140.2960000      -1.3000000     092111.040     -011800.00
W_010011     141.5950000      -1.3000000     092622.800     -011800.00
W_010012     142.8941920      -1.3000000     093134.606     -011800.00
W_010013     144.1932300      -1.3000000     093646.375     -011800.00
W_010014     145.4922680      -1.3000000     094158.144     -011800.00
W_010015     146.7913060      -1.3000000     094709.913     -011800.00
W_010016     148.0903440      -1.3000000     095221.683     -011800.00
W_010017     149.3893820      -1.3000000     095733.452     -011800.00
W_010018     150.6884200      -1.3000000     100245.221     -011800.00
W_010019     151.9874580      -1.3000000     100756.990     -011800.00
W_010020     153.2864960      -1.3000000     101308.759     -011800.00
W_010021     154.5855350      -1.3000000     101820.528     -011800.00
W_010022     155.8845730      -1.3000000     102332.298     -011800.00
W_010023     157.1836110      -1.3000000     102844.067     -011800.00
W_010024     158.4826490      -1.3000000     103355.836     -011800.00
W_010025     159.7816870      -1.3000000     103907.605     -011800.00
W_010026     161.0807250      -1.3000000     104419.374     -011800.00
W_010027     162.3797630      -1.3000000     104931.143     -011800.00
W_010028     163.6788010      -1.3000000     105442.912     -011800.00
W_010029     164.9778390      -1.3000000     105954.681     -011800.00
W_010030     166.2768780      -1.3000000     110506.451     -011800.00
W_010031     167.5759160      -1.3000000     111018.220     -011800.00
W_010032     168.8749540      -1.3000000     111529.989     -011800.00
W_010033     170.1739920      -1.3000000     112041.758     -011800.00
W_010034     171.4730300      -1.3000000     112553.527     -011800.00
W_010035     172.7720680      -1.3000000     113105.296     -011800.00
W_010036     174.0711060      -1.3000000     113617.065     -011800.00
W_010037     175.3701440      -1.3000000     114128.835     -011800.00
